,LegislativeBody,Name ,Link,State ,Party ,account
182,house,"Correa, J. Luis",https://twitter.com/RepLouCorrea,CA,D,RepLouCorrea
183,house,"Costa, Jim",https://twitter.com/RepJimCosta,CA,D,RepJimCosta
184,house,"Courtney, Joe",https://twitter.com/RepJoeCourtney,CT,D,RepJoeCourtney
185,house,"Craig, Angie",https://twitter.com/RepAngieCraig,MN,D,RepAngieCraig
186,house,"Crane, Elijah",https://twitter.com/RepEliCrane,AZ,R,RepEliCrane
187,house,"Crawford, Rick",https://twitter.com/RepRickCrawford,AR,R,RepRickCrawford
188,house,"Crenshaw, Dan",https://twitter.com/RepDanCrenshaw,TX,R,RepDanCrenshaw
189,house,"Crockett, Jasmine",https://twitter.com/RepJasmine,TX,D,RepJasmine
190,house,"Crow, Jason",https://twitter.com/RepJasonCrow,CO,D,RepJasonCrow
191,house,"Cuellar, Henry",https://twitter.com/RepCuellar,TX,D,RepCuellar
192,house,"Curtis, John ",https://twitter.com/RepJohnCurtis,UT,R,RepJohnCurtis
193,house,"Davids, Sharice",https://twitter.com/RepDavids,KS,D,RepDavids
194,house,"Davidson, Warren",https://twitter.com/WarrenDavidson,OH,R,WarrenDavidson
195,house,"Davis, Danny ",https://twitter.com/RepDannyDavis,IL,D,RepDannyDavis
196,house,"Davis, Donald",https://twitter.com/RepDonDavis,NC,D,RepDonDavis
197,house,"Dean, Madeleine",https://twitter.com/RepDean,PA,D,RepDean
198,house,"DeGette, Diana",https://twitter.com/RepDianaDeGette,CO,D,RepDianaDeGette
199,house,"De La Cruz, Monica",https://twitter.com/RepMonicaDLC,TX,R,RepMonicaDLC
200,house,"DeLauro, Rosa ",https://twitter.com/rosadelauro,CT,D,rosadelauro
201,house,"DelBene, Suzan",https://twitter.com/RepDelBene,WA,D,RepDelBene
202,house,"Deluzio, Christopher",https://twitter.com/RepDeluzio,PA,D,RepDeluzio
203,house,"DeSaulnier, Mark",https://twitter.com/RepDeSaulnier,CA,D,RepDeSaulnier
204,house,"DesJarlais, Scott",https://twitter.com/DesJarlaisTN04,TN,R,DesJarlaisTN04
205,house,"D'Esposito, Anthony",https://twitter.com/RepDesposito,NY,R,RepDesposito
206,house,"Diaz-Balart, Mario",https://twitter.com/MarioDB,FL,R,MarioDB
207,house,"Dingell, Debbie",https://twitter.com/RepDebDingell,MI,D,RepDebDingell
208,house,"Doggett, Lloyd",https://twitter.com/RepLloydDoggett,TX,D,RepLloydDoggett
209,house,"Donalds, Byron",https://twitter.com/RepDonaldsPress,FL,R,RepDonaldsPress
210,house,"Duarte, John",https://twitter.com/RepDuarteCA13,CA,R,RepDuarteCA13
211,house,"Duncan, Jeff",https://twitter.com/RepJeffDuncan,SC,R,RepJeffDuncan
212,house,"Dunn, Neal",https://twitter.com/DrNealDunnFL2,FL,R,DrNealDunnFL2
213,house,"Edwards, Chuck",https://twitter.com/RepEdwards,NC,R,RepEdwards
214,house,"Ellzey, Jake",https://twitter.com/RepEllzey,TX,R,RepEllzey
215,house,"Emmer, Tom",https://twitter.com/RepTomEmmer,MN,R,RepTomEmmer
216,house,"Escobar, Veronica",https://twitter.com/RepEscobar,TX,D,RepEscobar
217,house,"Eshoo, Anna ",https://twitter.com/RepAnnaEshoo,CA,D,RepAnnaEshoo
218,house,"Espaillat, Adriano",https://twitter.com/RepEspaillat,NY,D,RepEspaillat
219,house,"Estes, Ron",https://twitter.com/RepRonEstes,KS,R,RepRonEstes
220,house,"Evans, Dwight",https://twitter.com/RepDwightEvans,PA,D,RepDwightEvans
221,house,"Ezell, Mike",https://twitter.com/RepEzell,MS,R,RepEzell
222,house,"Fallon, Pat",https://twitter.com/RepPatFallon,TX,R,RepPatFallon
223,house,"Feenstra, Randy",https://twitter.com/RepFeenstra,IA,R,RepFeenstra
224,house,"Ferguson, A. Drew",https://twitter.com/RepDrewFerguson,GA,R,RepDrewFerguson
225,house,"Finstad, Brad",https://twitter.com/repfinstad,MN,R,repfinstad
226,house,"Fischbach, Michelle",https://twitter.com/RepFischbach,MN,R,RepFischbach
